,day,session,time_real,time_inapp,time_sess,id,variant,player_level,player_xp,anim_total,anim_socketed,anim_earned,anim_ids,anim_sets_unlck,anim_sets_max,anim_sets_cmplt,anim_sets_max_cmplt,egg_id,egg_prog,egg_goal,soft_earned,soft_spent,soft_bal,secondary_earned,secondary_spent,secondary_bal,premium_earned,premium_spent,premium_bal,candy_count,a,actions,actions_buy,actions_merge,actions_feed,actions_eggs,actions_level,actions_crate,actions_spin_1,actions_spin_2,actions_swap,actions_donate,as_1,as_2,as_3,as_4,as_5,as_6,as_7,as_8,as_9,as_10,as_11,as_12,as_13,as_14,as_15,as_16,as_17,as_18,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24,a_25,a_26,a_27,a_28,a_29,a_30,a_31,a_32,a_33,a_34,a_35,a_36,a_37,a_38,a_39,a_40,a_41,a_42,a_43,a_44,a_45,a_46,a_47,a_48,a_49,a_50,a_52,a_53,a_54,a_55,a_57,a_58,a_59,a_60,a_61,a_63,a_64,a_65,a_66,a_67,a_73,a_85,a_87
0,1,1,1,1,1,0,Control,1,1,1,1,1,"8,",1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,[],1,"1,",,,,0,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(1,1,S),",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,2,2,2,0,Control,1,1,1,1,0,,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,[],0,,,,,0,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(1,1,S),",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,3,3,3,0,Control,1,1,1,1,0,,1,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,['BUY_CANDY'],1,,,"(1, 1),",,0,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(1,2,S),",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,4,4,4,0,Control,1,2,1,1,0,,1,1,0,0,0,0,0,1,1,2,0,0,1,0,0,0,1,[],1,"1,",,,,0,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(1,2,S),",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,5,5,5,0,Control,1,2,1,1,0,,1,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,1,[],0,,,,,0,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(1,2,S),",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,1,6,6,6,0,Control,1,3,1,1,0,,1,1,0,0,0,0,0,1,1,3,0,0,1,0,0,0,2,[],1,"1,",,,,0,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(1,2,S),",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,7,7,7,0,Control,1,3,1,1,0,,1,1,0,0,0,0,0,1,0,4,0,0,1,0,0,0,1,['BUY_CANDY'],1,,"2,",,,0,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(1,2,S),",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,8,8,8,0,Control,1,3,1,1,0,,1,1,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,[],1,,,"(1, 2),",,0,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(1,3,S),",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,9,9,9,0,Control,1,4,1,1,0,,1,1,0,0,0,0,0,1,1,5,0,0,1,0,0,0,1,[],1,"1,",,,,0,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(1,3,S),",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,1,10,10,10,0,Control,1,4,1,1,0,,1,1,0,0,0,0,0,1,0,6,0,0,1,0,0,0,1,[],0,,,,,0,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(1,3,S),",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
